iter	RMSE
201	0.5828214691
202	0.5821594053
203	0.5819180382
204	0.5816537531
205	0.581557812
206	0.5808758074
207	0.580226784
208	0.5800164458
209	0.5793512445
210	0.5787894436
211	0.5786812438
212	0.5782184386
213	0.5779651652
214	0.5774415602
215	0.5769971911
216	0.5764816192
217	0.5761478005
218	0.5754951403
219	0.5749023802
220	0.5746546498
221	0.5744604036
222	0.5740484527
223	0.5737086323
224	0.5732850144
225	0.5725288485
226	0.5720630274
227	0.5713909832
228	0.5711439071
229	0.5705567119
230	0.5701729205
231	0.5696022493
232	0.5693893515
233	0.5687369404
234	0.5685094699
235	0.5679885955
236	0.5674688541
237	0.5669023105
238	0.5661126036
239	0.5656978496
240	0.5655298946
241	0.5651909105
242	0.5646409434
243	0.5644799974
244	0.564199686
245	0.5639885445
246	0.5637673127
247	0.5635799041
248	0.5630188227
249	0.5628914051
250	0.5623305535
251	0.5616351459
252	0.5612536612
253	0.5610636359
254	0.5603829082
255	0.5597063474
256	0.5591821201
257	0.5585641691
258	0.5580465825
259	0.5576114504
260	0.5569952851
261	0.5564047128
262	0.5559288878
263	0.5553264232
264	0.5551285271
265	0.5548004375
266	0.5545585391
267	0.5542614244
268	0.5537688601
269	0.5532320283
270	0.5527219592
271	0.5521888402
272	0.5517555377
273	0.5515052948
274	0.5510167331
275	0.5507130025
276	0.5504792714
277	0.5502465754
278	0.5499158684
279	0.5494138913
280	0.5492429185
281	0.5488348212
282	0.548681618
283	0.5481438775
284	0.5477766687
285	0.5474530781
286	0.5471220123
287	0.5463521932
288	0.546227551
289	0.5457778061
290	0.5453486564
291	0.5449086112
292	0.5444181078
293	0.5440114748
294	0.5438141551
295	0.5434695372
296	0.5432865471
297	0.5428983241
298	0.5427409911
299	0.5424979237
300	0.5418756379
301	0.5416131842
302	0.54104916
303	0.5406116326
304	0.5401135497
305	0.5397344658
306	0.5394171195
307	0.5391752466
308	0.5387158612
309	0.5383884035
310	0.5377837561
311	0.5374996055
312	0.5371001027
313	0.5366946332
314	0.5365580976
315	0.5361341553
316	0.5360218365
317	0.5355419381
318	0.5351720342
319	0.5348977762
320	0.5347785455
321	0.5345611301
322	0.5341020423
323	0.5336937589
324	0.5332963053
325	0.5331748645
326	0.5328699652
327	0.532527549
328	0.5319940257
329	0.5317357401
330	0.5314229001
331	0.5312426865
332	0.5310114145
333	0.5307165938
334	0.5305215544
335	0.5303360001
336	0.5300051622
337	0.5298133828
338	0.5296877346
339	0.5295370315
340	0.529166795
341	0.5288125411
342	0.5286106664
343	0.5283756314
344	0.5280598594
345	0.5277612844
346	0.5274220944
347	0.5270639036
348	0.5267806506
349	0.5261395716
350	0.5259060863
351	0.5254919726
352	0.5253393796
353	0.5248560682
354	0.5245320369
355	0.5242485808
356	0.5238927595
357	0.523710719
358	0.5233873108
359	0.5230116893
360	0.5225734855
361	0.5221484237
362	0.5217939691
363	0.5212620409
364	0.5211129747
365	0.521006327
366	0.5206758801
367	0.5201913607
368	0.5200065128
369	0.5199438131
370	0.5197398769
371	0.5195304728
372	0.5191084733
373	0.5186475908
374	0.5181715538
375	0.518032984
376	0.5175919616
377	0.5172094756
378	0.5171281026
379	0.5166606992
380	0.5166071238
381	0.5163621033
382	0.5159358252
383	0.515510726
384	0.5154393377
385	0.5151381507
386	0.5150063326
387	0.5146524197
388	0.514406003
389	0.5140900606
390	0.5140561184
391	0.5136883806
392	0.5130924076
393	0.5129454535
394	0.5126052526
395	0.5124197455
396	0.5119872333
397	0.5116996119
398	0.5116200539
399	0.5113056737
400	0.5112347266
401	0.5109258536
402	0.5104408558
403	0.5099730311
404	0.5098693871
405	0.5095266813
406	0.5090527141
407	0.5088378321
408	0.5084554499
409	0.5081579094
410	0.5078495712
411	0.5077305249
412	0.5073437022
413	0.5071222024
414	0.5068162448
415	0.5065121551
416	0.5063789976
417	0.5060637434
418	0.5058225766
419	0.5057485088
420	0.5054306974
421	0.5051136345
422	0.5048304371
423	0.5045453755
424	0.5044098443
425	0.5041399274
426	0.5037702756
427	0.5033749032
428	0.5032742082
429	0.5029063439
430	0.5027882719
431	0.5025103503
432	0.5022123074
433	0.501930687
434	0.5017708671
435	0.5014114238
436	0.5010314023
437	0.5006881507
438	0.5002102866
439	0.4998558191
440	0.4996293595
441	0.4994542723
442	0.4993695965
443	0.499121368
444	0.499112158
445	0.4988435938
446	0.4984710643
447	0.4982315625
448	0.4979434876
449	0.4978640771
450	0.497476144
451	0.4972984539
452	0.4970723508
453	0.4966264012
454	0.4963690159
455	0.4962058182
456	0.4958142148
457	0.4956779245
458	0.4956427532
459	0.4953308459
460	0.4949925009
461	0.4948046443
462	0.4945843237
463	0.4942809428
464	0.4939130765
465	0.4936301634
466	0.4934361741
467	0.4931437336
468	0.4931116652
469	0.4929739039
470	0.4928018561
471	0.4926437366
472	0.4926353545
473	0.4921521516
474	0.492002185
475	0.4916394403
476	0.4911788324
477	0.4908724056
478	0.4906598776
479	0.4902439263
480	0.490121169
481	0.4898065743
482	0.4894413449
483	0.4892331467
484	0.4888235597
485	0.4883681345
486	0.4881144791
487	0.487957605
488	0.4875417616
489	0.4873690265
490	0.4873144685
491	0.4870379229
492	0.4866904483
493	0.4865131679
494	0.4863265806
495	0.4861771401
496	0.4858339658
497	0.4855814302
498	0.485312026
499	0.4850115569
500	0.4848345748
501	0.4846991769
502	0.4843768283
503	0.4842542978
504	0.4838843402
505	0.4835723906
506	0.4833214854
507	0.4833134972
508	0.4830612066
509	0.4828735625
510	0.4826292889
511	0.4824694416
512	0.4823275951
513	0.4822479282
514	0.4821446872
515	0.4819076153
516	0.4816046691
517	0.4812819357
518	0.481261407
519	0.4809950926
520	0.4808406427
521	0.480535949
522	0.4803576425
523	0.4802127709
524	0.479786031
525	0.4795829841
526	0.479338186
527	0.4791986383
528	0.4790959813
529	0.4790266858
530	0.4788051071
531	0.4783393609
532	0.4779743605
533	0.4776369295
534	0.4775485361
535	0.4772035807
536	0.4767826945
537	0.4766477402
538	0.47632066
539	0.47601657
540	0.4757902364
541	0.4756260935
542	0.4752908814
543	0.4751311079
544	0.4748883215
545	0.4746710418
546	0.4744337847
547	0.4742688708
548	0.4740907114
549	0.4739290005
550	0.4736225259
551	0.4735612715
552	0.4735175779
553	0.4732827439
554	0.4731594639
555	0.4728572653
556	0.4725665685
557	0.4721422071
558	0.471747895
559	0.4714477941
560	0.4712735319
561	0.470989759
562	0.4709858853
563	0.4706704013
564	0.4702813623
565	0.4701191389
566	0.4699669836
567	0.4697791856
568	0.4696167726
569	0.4695633711
570	0.4693531468
571	0.4691249018
572	0.4688908047
573	0.4686488293
574	0.4686418304
575	0.4681906956
576	0.468125239
577	0.4677841568
578	0.4675182235
579	0.4674338573
580	0.4671996352
581	0.4670419086
582	0.4670335286
583	0.4666161148
584	0.466254509
585	0.4660341329
586	0.4655349374
587	0.4654215238
588	0.465306219
589	0.4652734507
590	0.4649840398
591	0.4646138716
592	0.4643553051
593	0.4642437007
594	0.4640905938
595	0.4640678296
596	0.4636738873
597	0.4634207376
598	0.4633463702
599	0.46305674
600	0.4628227761
601	0.4627148903
602	0.4624242058
603	0.4622951986
604	0.4620154705
605	0.4619241477
606	0.4615818516
607	0.4614311153
608	0.4613360644
609	0.4612387432
610	0.4611257263
611	0.4608627664
612	0.4606773031
613	0.4606709327
614	0.4603956306
615	0.4602039675
616	0.4600886196
617	0.4600470328
618	0.4598785547
619	0.4596238826
620	0.4592933018
621	0.4589814631
622	0.4587656701
623	0.4585731035
624	0.4585665276
625	0.4583338459
626	0.4580762245
627	0.4580221869
628	0.4576497011
629	0.4576045932
630	0.4575627507
631	0.4573491672
632	0.457005442
633	0.4566601722
634	0.4564059124
635	0.4562738526
636	0.456184181
637	0.4559446446
638	0.4557559315
639	0.4555343793
640	0.455405574
641	0.4552190689
642	0.4550600352
643	0.4547096353
644	0.4546263718
645	0.4544818363
646	0.45415384
647	0.453843947
648	0.4536911888
649	0.4534081051
650	0.4530451149
651	0.4528302328
652	0.4527627396
653	0.4526067697
654	0.4524800055
655	0.4521420508
656	0.451946158
657	0.4516683185
658	0.451509128
659	0.45125949
660	0.4511808056
661	0.4509851962
662	0.4508829097
663	0.4505870552
664	0.4502602682
665	0.4499474427
666	0.449718992
667	0.4495237546
668	0.4493141719
669	0.4491512394
670	0.4490668112
671	0.448852282
672	0.4486588458
673	0.448596985
674	0.4482782842
675	0.4481799527
676	0.4480412296
677	0.4478673096
678	0.4476140511
679	0.4474354092
680	0.4472999881
681	0.4470890948
682	0.4468805166
683	0.4466291524
684	0.4463970331
685	0.4463066537
686	0.4460574142
687	0.4459680848
688	0.4458795344
689	0.4458029507
690	0.4456402524
691	0.4454864269
692	0.4453354424
693	0.444953356
694	0.444760008
695	0.4446117332
696	0.4443335335
697	0.4442387807
698	0.4441397701
699	0.4440017787
700	0.4439086243
701	0.4436656094
702	0.4436070157
703	0.4435339309
704	0.4433358269
705	0.4431287816
706	0.442898525
707	0.4427766199
708	0.4426748895
709	0.4425004133
710	0.4424373709
711	0.4421326161
712	0.44193535
713	0.4417304163
714	0.4416588725
715	0.4415720735
716	0.4413444441
717	0.4412184044
718	0.4411538812
719	0.4407490126
720	0.4405261183
721	0.4401958535
722	0.4401192665
723	0.4398524801
724	0.4395421861
725	0.4392275613
726	0.4390225053
727	0.4387508873
728	0.4385570829
729	0.4382392572
730	0.4379860895
731	0.4377567839
732	0.437647443
733	0.4375284846
734	0.4373536311
735	0.4373052684
736	0.4370527749
737	0.4369254304
738	0.4368624522
739	0.4367493742
740	0.4365429067
741	0.436374184
742	0.4362414938
743	0.4360692489
744	0.4359951387
745	0.4359192305
746	0.4354818109
747	0.4354469822
748	0.4351872679
749	0.4350838276
750	0.4350271419
751	0.4349294144
752	0.4347461946
753	0.4345778245
754	0.434440295
755	0.4342587943
756	0.4341309779
757	0.4340250671
758	0.4337890629
759	0.433592355
760	0.4335061118
761	0.433504464
762	0.4332731659
763	0.4331055265
764	0.4330268879
765	0.4329394552
766	0.4328495609
767	0.4326740052
768	0.4326034219
769	0.4324175936
770	0.4322252479
771	0.4321139823
772	0.4320740243
773	0.4319650124
774	0.4316676863
775	0.4316032917
776	0.4314428301
777	0.431285727
778	0.4311007234
779	0.4310974732
780	0.4308375111
781	0.4305571652
782	0.4303689011
783	0.4301349762
784	0.4298607918
785	0.4296707436
786	0.4294171767
787	0.4294152828
788	0.4291708441
789	0.4291218575
790	0.4288671641
791	0.428630071
792	0.4285763144
793	0.4283261387
794	0.4281796424
795	0.4278922266
796	0.4277256924
797	0.4275642684
798	0.4274384623
799	0.4272045329
800	0.4270136075
801	0.4269421588
802	0.4267812497
803	0.4266590752
804	0.426415058
805	0.4262865505
806	0.4259001294
807	0.4257041463
808	0.4255834374
809	0.4253291533
810	0.4251928756
811	0.4250070859
812	0.4248521913
813	0.4246573515
814	0.4245118945
815	0.424454282
816	0.424336613
817	0.4241195505
818	0.4239627349
819	0.4239037801
820	0.4239019654
821	0.4237014599
822	0.4233926865
823	0.423288929
824	0.4232870321
825	0.4231755654
826	0.4230775016
827	0.4228828054
828	0.4226569417
829	0.4224858933
830	0.4224029376
831	0.4221758232
832	0.421997533
833	0.421908474
834	0.4217615758
835	0.4215111708
836	0.4214128275
837	0.4212156993
838	0.4211251814
839	0.4210374858
840	0.4208317041
841	0.4206512769
842	0.4206268782
843	0.4204174114
844	0.4203171333
845	0.4200595568
846	0.4199208909
847	0.4198180742
848	0.4196284346
849	0.4194850027
850	0.4193856666
851	0.4193323589
852	0.4192090312
853	0.4191419582
854	0.4189434848
855	0.4189418254
856	0.4187898044
857	0.4184698807
858	0.4183213966
859	0.4182299101
860	0.4181772539
861	0.4180051968
862	0.4178416089
863	0.4177969403
864	0.417736941
865	0.4176481981
866	0.4175519032
867	0.4174969548
868	0.4172710819
869	0.4170046951
870	0.4168279882
871	0.4166859538
872	0.4164163165
873	0.4163017108
874	0.4161090431
875	0.416040616
876	0.4159798955
877	0.4156991486
878	0.4155662191
879	0.4154039447
880	0.4152090395
881	0.4150789941
882	0.4149754703
883	0.4148103242
884	0.4145513132
885	0.4143727973
886	0.4142870746
887	0.4141584339
888	0.4140067487
889	0.4137928174
890	0.4135238994
891	0.4132954536
892	0.4131812069
893	0.4130225351
894	0.412851145
895	0.4126926394
896	0.4126327162
897	0.4123766045
898	0.4122623487
899	0.4120921238
900	0.4120137217
901	0.4119489097
902	0.4117955594
903	0.4114973916
904	0.4112714704
905	0.411052004
906	0.4108922736
907	0.4108907189
908	0.4106936602
909	0.4104271609
910	0.4103807764
911	0.4101653292
912	0.4100696014
913	0.4099812446
914	0.4098734313
915	0.4096531801
916	0.4094799937
917	0.4092966922
918	0.4092153553
919	0.4091291469
920	0.4089978769
921	0.4089792872
922	0.4088560917
923	0.408854539
924	0.4087267724
925	0.4085039867
926	0.4084254985
927	0.4081875993
928	0.4079971085
929	0.4078617595
930	0.4076997032
931	0.4075462079
932	0.4073735547
933	0.4071236434
934	0.4070955248
935	0.4069564115
936	0.4069345747
937	0.4068068639
938	0.4065644137
939	0.4062927253
940	0.4061907143
941	0.4060733848
942	0.4059950583
943	0.4057873198
944	0.4057277469
945	0.4055283308
946	0.4053892672
947	0.4052198676
948	0.4050196382
949	0.4048298978
950	0.4045951229
951	0.4044291991
952	0.4043101765
953	0.4042174333
954	0.4040378191
955	0.4040235033
956	0.4037777865
957	0.4036258995
958	0.4035007561
959	0.4033233216
960	0.4031104445
961	0.4029887638
962	0.4028248205
963	0.4025700338
964	0.402387039
965	0.4022148505
966	0.4020703837
967	0.4018166255
968	0.4016555171
969	0.4015747112
970	0.4014437787
971	0.4014413853
972	0.4013462772
973	0.4012363342
974	0.4011077676
975	0.4009570188
976	0.4007282224
977	0.4005888838
978	0.4003899626
979	0.400180284
980	0.4000476998
981	0.3999614992
982	0.3998116892
983	0.3996216072
984	0.3994409971
985	0.3992332479
986	0.3990704224
987	0.3990063859
988	0.3988971411
989	0.3986536862
990	0.3985642773
991	0.3984026267
992	0.3982334741
993	0.3980475725
994	0.3979278745
995	0.3978839456
996	0.3977346325
997	0.3975666193
998	0.3974589105
999	0.3972230297
