temp_water,formatted_time,alias,latitude,longitude
4.6,2022-03-23 11:52:00,Bergabadet,59.057008,17.440774
4.8,2022-03-24 11:52:00,Bergabadet,59.057008,17.440774
5.0,2022-03-25 11:52:00,Bergabadet,59.057008,17.440774
4.6,2022-03-26 11:53:00,Bergabadet,59.057008,17.440774
4.7,2022-03-27 11:53:00,Bergabadet,59.057008,17.440774
4.0,2022-03-28 11:53:00,Bergabadet,59.057008,17.440774
3.9,2022-03-29 11:54:00,Bergabadet,59.057008,17.440774
4.1,2022-03-30 11:54:00,Bergabadet,59.057008,17.440774
4.3,2022-03-31 11:54:00,Bergabadet,59.057008,17.440774
4.4,2022-04-01 11:55:00,Bergabadet,59.057008,17.440774
4.3,2022-04-02 11:55:00,Bergabadet,59.057008,17.440774
4.4,2022-04-03 11:55:00,Bergabadet,59.057008,17.440774
4.5,2022-04-04 11:55:00,Bergabadet,59.057008,17.440774
4.2,2022-04-05 11:56:00,Bergabadet,59.057008,17.440774
4.1,2022-04-06 11:56:00,Bergabadet,59.057008,17.440774
4.4,2022-04-07 11:56:00,Bergabadet,59.057008,17.440774
3.9,2022-04-08 11:57:00,Bergabadet,59.057008,17.440774
3.8,2022-04-09 11:57:00,Bergabadet,59.057008,17.440774
4.0,2022-04-10 11:57:00,Bergabadet,59.057008,17.440774
4.3,2022-04-11 11:58:00,Bergabadet,59.057008,17.440774
4.8,2022-04-12 11:58:00,Bergabadet,59.057008,17.440774
4.9,2022-04-13 11:58:00,Bergabadet,59.057008,17.440774
4.9,2022-04-14 11:59:00,Bergabadet,59.057008,17.440774
5.3,2022-04-15 11:59:00,Bergabadet,59.057008,17.440774
6.8,2022-04-16 11:59:00,Bergabadet,59.057008,17.440774
5.8,2022-04-17 11:59:00,Bergabadet,59.057008,17.440774
8.9,2022-04-18 12:00:00,Bergabadet,59.057008,17.440774
6.7,2022-04-19 12:00:00,Bergabadet,59.057008,17.440774
7.7,2022-04-20 12:00:00,Bergabadet,59.057008,17.440774
8.8,2022-04-21 12:01:00,Bergabadet,59.057008,17.440774
9.3,2022-04-22 12:01:00,Bergabadet,59.057008,17.440774
10.1,2022-04-23 12:01:00,Bergabadet,59.057008,17.440774
9.5,2022-04-24 12:02:00,Bergabadet,59.057008,17.440774
10.0,2022-04-25 12:02:00,Bergabadet,59.057008,17.440774
10.8,2022-04-26 12:02:00,Bergabadet,59.057008,17.440774
10.5,2022-04-27 12:02:00,Bergabadet,59.057008,17.440774
10.6,2022-04-28 12:03:00,Bergabadet,59.057008,17.440774
10.5,2022-04-29 12:03:00,Bergabadet,59.057008,17.440774
10.1,2022-04-30 12:03:00,Bergabadet,59.057008,17.440774
11.5,2022-05-01 12:04:00,Bergabadet,59.057008,17.440774
11.7,2022-05-02 12:04:00,Bergabadet,59.057008,17.440774
11.0,2022-05-03 12:04:00,Bergabadet,59.057008,17.440774
10.7,2022-05-04 12:04:00,Bergabadet,59.057008,17.440774
