temp_water,formatted_time,alias,latitude,longitude
2.6,2022-01-14 14:30:00,Bergabadet,59.057008,17.440774
2.6,2022-01-14 15:30:00,Bergabadet,59.057008,17.440774
2.6,2022-01-15 10:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-15 11:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-15 12:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-15 13:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-15 14:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-15 15:31:00,Bergabadet,59.057008,17.440774
2.7,2022-01-16 10:31:00,Bergabadet,59.057008,17.440774
2.7,2022-01-16 11:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-16 12:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-16 13:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-16 14:31:00,Bergabadet,59.057008,17.440774
2.7,2022-01-16 15:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-17 10:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-17 11:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-17 12:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-17 13:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-17 14:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-17 15:31:00,Bergabadet,59.057008,17.440774
2.6,2022-01-18 10:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-18 11:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-18 12:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-18 13:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-18 14:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-18 15:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-19 10:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-19 11:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-19 12:34:00,Bergabadet,59.057008,17.440774
2.7,2022-01-19 13:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-19 14:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-19 15:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-20 10:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-20 11:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-20 12:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-20 13:32:00,Bergabadet,59.057008,17.440774
2.8,2022-01-20 14:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-20 15:32:00,Bergabadet,59.057008,17.440774
2.7,2022-01-21 11:33:00,Bergabadet,59.057008,17.440774
2.7,2022-01-21 12:33:00,Bergabadet,59.057008,17.440774
2.7,2022-01-21 14:33:00,Bergabadet,59.057008,17.440774
2.7,2022-01-21 15:33:00,Bergabadet,59.057008,17.440774
2.7,2022-01-22 10:33:00,Bergabadet,59.057008,17.440774
2.7,2022-01-22 11:33:00,Bergabadet,59.057008,17.440774
2.7,2022-01-22 12:33:00,Bergabadet,59.057008,17.440774
2.7,2022-01-22 13:33:00,Bergabadet,59.057008,17.440774
2.7,2022-01-22 14:33:00,Bergabadet,59.057008,17.440774
2.7,2022-01-22 15:33:00,Bergabadet,59.057008,17.440774
2.8,2022-01-23 10:33:00,Bergabadet,59.057008,17.440774
2.8,2022-01-23 11:33:00,Bergabadet,59.057008,17.440774
2.8,2022-01-23 12:33:00,Bergabadet,59.057008,17.440774
2.8,2022-01-23 13:33:00,Bergabadet,59.057008,17.440774
2.8,2022-01-23 14:33:00,Bergabadet,59.057008,17.440774
2.8,2022-01-23 15:33:00,Bergabadet,59.057008,17.440774
2.8,2022-01-24 10:33:00,Bergabadet,59.057008,17.440774
2.8,2022-01-24 11:33:00,Bergabadet,59.057008,17.440774
2.8,2022-01-24 12:33:00,Bergabadet,59.057008,17.440774
2.8,2022-01-24 13:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-24 14:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-24 15:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-25 10:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-25 11:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-25 12:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-25 13:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-25 14:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-25 15:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-26 10:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-26 11:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-26 12:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-26 13:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-26 14:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-26 15:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-27 10:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-27 11:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-27 12:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-27 13:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-27 14:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-27 15:34:00,Bergabadet,59.057008,17.440774
2.8,2022-01-28 10:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-28 11:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-28 12:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-28 13:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-28 14:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-28 15:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-29 10:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-29 11:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-29 12:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-29 13:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-29 14:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-29 15:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-30 10:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-30 11:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-30 12:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-30 13:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-30 14:35:00,Bergabadet,59.057008,17.440774
2.8,2022-01-30 15:35:00,Bergabadet,59.057008,17.440774
2.7,2022-01-31 10:36:00,Bergabadet,59.057008,17.440774
2.8,2022-01-31 11:36:00,Bergabadet,59.057008,17.440774
2.8,2022-01-31 12:36:00,Bergabadet,59.057008,17.440774
2.7,2022-01-31 13:36:00,Bergabadet,59.057008,17.440774
2.7,2022-01-31 14:36:00,Bergabadet,59.057008,17.440774
2.7,2022-01-31 15:36:00,Bergabadet,59.057008,17.440774
2.7,2022-02-01 10:36:00,Bergabadet,59.057008,17.440774
2.8,2022-02-01 11:36:00,Bergabadet,59.057008,17.440774
2.8,2022-02-01 12:36:00,Bergabadet,59.057008,17.440774
2.8,2022-02-01 13:36:00,Bergabadet,59.057008,17.440774
2.8,2022-02-01 14:36:00,Bergabadet,59.057008,17.440774
2.7,2022-02-01 15:36:00,Bergabadet,59.057008,17.440774
2.8,2022-02-02 10:36:00,Bergabadet,59.057008,17.440774
2.8,2022-02-02 11:36:00,Bergabadet,59.057008,17.440774
2.8,2022-02-02 12:39:00,Bergabadet,59.057008,17.440774
2.8,2022-02-02 13:36:00,Bergabadet,59.057008,17.440774
2.8,2022-02-02 14:36:00,Bergabadet,59.057008,17.440774
2.8,2022-02-02 15:36:00,Bergabadet,59.057008,17.440774
2.8,2022-02-03 10:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-03 11:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-03 12:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-03 13:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-03 14:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-03 15:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-04 10:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-04 11:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-04 12:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-04 13:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-04 14:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-04 15:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-05 10:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-05 11:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-05 12:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-05 13:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-05 14:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-05 15:37:00,Bergabadet,59.057008,17.440774
2.8,2022-02-06 10:38:00,Bergabadet,59.057008,17.440774
2.8,2022-02-06 11:38:00,Bergabadet,59.057008,17.440774
2.8,2022-02-06 12:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-06 13:38:00,Bergabadet,59.057008,17.440774
2.8,2022-02-06 14:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-06 15:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-07 10:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-07 11:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-07 12:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-07 13:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-07 14:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-07 15:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-08 10:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-08 11:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-08 12:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-08 13:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-08 14:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-08 15:38:00,Bergabadet,59.057008,17.440774
2.9,2022-02-09 10:39:00,Bergabadet,59.057008,17.440774
3.0,2022-02-09 11:39:00,Bergabadet,59.057008,17.440774
3.0,2022-02-09 12:39:00,Bergabadet,59.057008,17.440774
3.0,2022-02-09 13:39:00,Bergabadet,59.057008,17.440774
3.0,2022-02-09 14:39:00,Bergabadet,59.057008,17.440774
3.0,2022-02-09 15:39:00,Bergabadet,59.057008,17.440774
3.0,2022-02-10 10:39:00,Bergabadet,59.057008,17.440774
3.0,2022-02-10 11:39:00,Bergabadet,59.057008,17.440774
3.0,2022-02-10 12:39:00,Bergabadet,59.057008,17.440774
3.1,2022-02-10 13:39:00,Bergabadet,59.057008,17.440774
3.0,2022-02-10 14:39:00,Bergabadet,59.057008,17.440774
3.0,2022-02-10 15:39:00,Bergabadet,59.057008,17.440774
3.0,2022-02-11 10:39:00,Bergabadet,59.057008,17.440774
3.1,2022-02-11 11:39:00,Bergabadet,59.057008,17.440774
3.1,2022-02-11 12:39:00,Bergabadet,59.057008,17.440774
3.1,2022-02-11 13:39:00,Bergabadet,59.057008,17.440774
3.1,2022-02-11 14:39:00,Bergabadet,59.057008,17.440774
